2023-10-26 16:23:17,572 INFO    StreamThr :929738 [internal.py:wandb_internal():86] W&B internal server running at pid: 929738, started at: 2023-10-26 16:23:17.572564
2023-10-26 16:23:17,574 DEBUG   HandlerThread:929738 [handler.py:handle_request():144] handle_request: status
2023-10-26 16:23:17,575 INFO    WriterThread:929738 [datastore.py:open_for_write():85] open: /home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/wandb/run-20231026_162317-p2m46r6e/run-p2m46r6e.wandb
2023-10-26 16:23:17,575 DEBUG   SenderThread:929738 [sender.py:send():379] send: header
2023-10-26 16:23:17,575 DEBUG   SenderThread:929738 [sender.py:send():379] send: run
2023-10-26 16:23:17,918 INFO    SenderThread:929738 [dir_watcher.py:__init__():211] watching files in: /home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/wandb/run-20231026_162317-p2m46r6e/files
2023-10-26 16:23:17,918 INFO    SenderThread:929738 [sender.py:_start_run_threads():1121] run started: p2m46r6e with start time 1698351797.572347
2023-10-26 16:23:17,923 DEBUG   HandlerThread:929738 [handler.py:handle_request():144] handle_request: check_version
2023-10-26 16:23:17,923 DEBUG   SenderThread:929738 [sender.py:send_request():406] send_request: check_version
2023-10-26 16:23:18,058 DEBUG   HandlerThread:929738 [handler.py:handle_request():144] handle_request: run_start
2023-10-26 16:23:18,062 DEBUG   HandlerThread:929738 [system_info.py:__init__():32] System info init
2023-10-26 16:23:18,062 DEBUG   HandlerThread:929738 [system_info.py:__init__():47] System info init done
2023-10-26 16:23:18,062 INFO    HandlerThread:929738 [system_monitor.py:start():181] Starting system monitor
2023-10-26 16:23:18,062 INFO    SystemMonitor:929738 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-10-26 16:23:18,063 INFO    HandlerThread:929738 [system_monitor.py:probe():201] Collecting system info
2023-10-26 16:23:18,063 INFO    SystemMonitor:929738 [interfaces.py:start():190] Started cpu monitoring
2023-10-26 16:23:18,063 INFO    SystemMonitor:929738 [interfaces.py:start():190] Started disk monitoring
2023-10-26 16:23:18,063 INFO    SystemMonitor:929738 [interfaces.py:start():190] Started gpu monitoring
2023-10-26 16:23:18,064 INFO    SystemMonitor:929738 [interfaces.py:start():190] Started memory monitoring
2023-10-26 16:23:18,064 INFO    SystemMonitor:929738 [interfaces.py:start():190] Started network monitoring
2023-10-26 16:23:18,093 DEBUG   HandlerThread:929738 [system_info.py:probe():196] Probing system
2023-10-26 16:23:18,094 DEBUG   HandlerThread:929738 [system_info.py:_probe_git():181] Probing git
2023-10-26 16:23:18,097 DEBUG   HandlerThread:929738 [system_info.py:_probe_git():189] Probing git done
2023-10-26 16:23:18,097 DEBUG   HandlerThread:929738 [system_info.py:probe():244] Probing system done
